codigo_ibge,municipio,uf,data,ano_evento,descricao_tipologia,grupo_de_desastre,status,dh_mortos,dh_feridos,dh_enfermos,dh_desabrigados,dh_desalojados,dh_total_danos_humanos,dh_outros_afetados,cobrade,populacao,dh_desaparecidos
2102507,Cajari,MA,1996-05-08T00:00:00Z,1996,Enxurradas,Hidrológico,Registro,0,0,0,0,0,0,0,NA,NA,NA
2101301,Bacuri,MA,1996-05-10T00:00:00Z,1996,Enxurradas,Hidrológico,Registro,0,0,0,0,0,0,0,NA,NA,NA
2100402,Altamira do Maranhão,MA,1996-05-15T00:00:00Z,1996,Enxurradas,Hidrológico,Registro,0,0,0,0,0,0,0,NA,NA,NA
2106904,Monção,MA,1996-05-22T00:00:00Z,1996,Enxurradas,Hidrológico,Registro,0,0,0,0,0,0,0,NA,NA,NA
1500404,Alenquer,PA,1996-05-22T00:00:00Z,1996,Enxurradas,Hidrológico,Registro,0,0,0,0,0,0,0,NA,NA,NA
1722081,Wanderlândia,TO,1996-06-18T00:00:00Z,1996,Erosão,Outros,Registro,0,0,0,0,0,0,0,NA,NA,NA
1400100,Boa Vista,RR,1996-06-20T00:00:00Z,1996,Enxurradas,Hidrológico,Registro,0,0,0,0,0,0,0,NA,NA,NA
1500347,Água Azul do Norte,PA,1996-06-27T00:00:00Z,1996,Inundações,Hidrológico,Registro,0,0,0,0,0,0,0,NA,NA,NA
1502707,Conceição do Araguaia,PA,1996-06-27T00:00:00Z,1996,Inundações,Hidrológico,Registro,0,0,0,0,0,0,0,NA,NA,NA
1502954,Eldorado do Carajás,PA,1996-06-27T00:00:00Z,1996,Inundações,Hidrológico,Registro,0,0,0,0,0,0,0,NA,NA,NA
1503705,Itupiranga,PA,1996-06-27T00:00:00Z,1996,Inundações,Hidrológico,Registro,0,0,0,0,0,0,0,NA,NA,NA
1503804,Jacundá,PA,1996-06-27T00:00:00Z,1996,Inundações,Hidrológico,Registro,0,0,0,0,0,0,0,NA,NA,NA
1400159,Bonfim,RR,1996-07-02T00:00:00Z,1996,Inundações,Hidrológico,Registro,0,0,0,0,0,0,0,NA,NA,NA
1501006,Aveiro,PA,1996-08-09T00:00:00Z,1996,Inundações,Hidrológico,Registro,0,0,0,0,0,0,0,NA,NA,NA
5107925,Sorriso,MT,1997-01-20T00:00:00Z,1997,Inundações,Hidrológico,Registro,0,0,0,0,0,0,0,NA,NA,NA
5108303,União do Sul,MT,1997-01-30T00:00:00Z,1997,Enxurradas,Hidrológico,Registro,0,0,0,0,0,0,0,NA,NA,NA
