sg_ue,cd_municipio_ibge,nome_municipio,uf,icat_medio,cat_medio_camara
02151,1300706,BOCA DO ACRE,AM,25.864166666666666,2. ruim
02178,1300805,BORBA,AM,24.63083333333333,1. péssimo
02194,1300904,CANUTAMA,AM,22.527272727272727,1. péssimo
02216,1301001,CARAUARI,AM,19.61090909090909,1. péssimo
02232,1301100,CAREIRO,AM,17.105833333333333,1. péssimo
02259,1301209,COARI,AM,16.762666666666668,1. péssimo
02275,1301308,CODAJAS,AM,16.79909090909091,1. péssimo
02291,1301407,EIRUNEPE,AM,54.06,3. regular
02313,1301506,ENVIRA,AM,16.401818181818182,1. péssimo
02330,1301605,FONTE BOA,AM,41.58181818181818,2. ruim
02356,1301704,HUMAITA,AM,24.424,1. péssimo
02372,1303601,SANTA ISABEL DO RIO NEGRO,AM,15.996363636363636,1. péssimo
02399,1301803,IPIXUNA,AM,16.26,1. péssimo
02410,1301902,ITACOATIARA,AM,20.88285714285714,1. péssimo
02437,1302009,ITAPIRANGA,AM,30.586666666666666,2. ruim
02453,1302108,JAPURA,AM,17.344444444444445,1. péssimo
02470,1302207,JURUA,AM,24.108888888888888,1. péssimo
02496,1302306,JUTAI,AM,30.927272727272726,2. ruim
02518,1302405,LABREA,AM,16.40153846153846,1. péssimo
02534,1302504,MANACAPURU,AM,17.104761904761904,1. péssimo
02550,1302603,MANAUS,AM,24.08942857142857,1. péssimo
02577,1302702,MANICORE,AM,18.386,1. péssimo
02593,1302801,MARAA,AM,17.445454545454545,1. péssimo
02615,1302900,MAUES,AM,26.207333333333334,2. ruim
02631,1303007,NHAMUNDA,AM,16.806363636363635,1. péssimo
02658,1303106,NOVA OLINDA DO NORTE,AM,16.533,1. péssimo
02674,1303304,NOVO ARIPUANA,AM,17.993636363636362,1. péssimo
02690,1303403,PARINTINS,AM,17.883846153846154,1. péssimo
02712,1303502,PAUINI,AM,19.921818181818182,1. péssimo
02739,1303700,SANTO ANTONIO DO ICA,AM,26.81,2. ruim
02755,1303908,SAO PAULO DE OLIVENCA,AM,17.712222222222223,1. péssimo
02771,1304005,SILVES,AM,16.68,1. péssimo
02798,1304104,TAPAUA,AM,15.827272727272726,1. péssimo
02810,1304203,TEFE,AM,24.547333333333334,1. péssimo
02836,1303809,SAO GABRIEL DA CACHOEIRA,AM,45.81384615384616,2. ruim
02852,1304302,URUCARA,AM,20.549090909090907,1. péssimo
02879,1304401,URUCURITUBA,AM,33.60727272727273,2. ruim
02895,1300029,ALVARAES,AM,26.99909090909091,2. ruim
02917,1300060,AMATURA,AM,18.62,1. péssimo
02933,1300086,ANAMA,AM,17.8,1. péssimo
02950,1300631,BERURI,AM,20.905454545454546,1. péssimo
02976,1300680,BOA VISTA DO RAMOS,AM,16.087272727272726,1. péssimo
02992,1300839,CAAPIRANGA,AM,21.77111111111111,1. péssimo
03000,1400233,CAROEBE,RR,14.333333333333334,1. péssimo
03018,1400100,BOA VISTA,RR,23.521428571428572,1. péssimo
03026,1400282,IRACEMA,RR,24.543333333333333,1. péssimo
03034,1400209,CARACARAI,RR,24.495454545454546,1. péssimo
03042,1400027,AMAJARI,RR,28.373333333333335,2. ruim
03050,1400050,ALTO ALEGRE,RR,21.91090909090909,1. péssimo
03069,1400175,CANTA,RR,20.084444444444443,1. péssimo
03077,1400159,BONFIM,RR,23.975555555555555,1. péssimo
03085,1400472,RORAINOPOLIS,RR,29.566153846153846,2. ruim
03093,1400308,MUCAJAI,RR,30.784545454545455,2. ruim
03107,1400704,UIRAMUTA,RR,42.51555555555556,2. ruim
03115,1400407,NORMANDIA,RR,18.02,1. péssimo
03123,1400456,PACARAIMA,RR,21.23181818181818,1. péssimo
03131,1400506,SAO JOAO DA BALIZA,RR,21.32,1. péssimo
03158,1400605,SAO LUIZ,RR,19.406666666666666,1. péssimo
04006,1503093,GOIANESIA DO PARA,PA,18.625454545454545,1. péssimo
04014,1500107,ABAETETUBA,PA,20.564666666666668,1. péssimo
04022,1507953,TAILANDIA,PA,28.493846153846153,2. ruim
04030,1500206,ACARA,PA,40.00066666666667,2. ruim
04049,1501576,BOM JESUS DO TOCANTINS,PA,31.544545454545453,2. ruim
04057,1500305,AFUA,PA,21.76090909090909,1. péssimo
04065,1507474,SAO JOAO DE PIRABAS,PA,31.575454545454544,2. ruim
04073,1500404,ALENQUER,PA,26.688,2. ruim
04081,1508084,TUCUMA,PA,25.746153846153845,2. ruim
04090,1500503,ALMEIRIM,PA,23.24,1. péssimo
04103,1504059,MAE DO RIO,PA,21.27769230769231,1. péssimo
04111,1500602,ALTAMIRA,PA,28.18,2. ruim
04120,1502954,ELDORADO DOS CARAJAS,PA,23.91090909090909,1. péssimo
04138,1500701,ANAJAS,PA,28.145454545454545,2. ruim
04146,1506559,SANTA LUZIA DO PARA,PA,34.517272727272726,2. ruim
04154,1500800,ANANINDEUA,PA,28.347272727272728,2. ruim
04162,1505494,PALESTINA DO PARA,PA,23.988888888888887,1. péssimo
04170,1500909,AUGUSTO CORREA,PA,23.555384615384618,1. péssimo
04189,1503457,IPIXUNA DO PARA,PA,35.32692307692307,2. ruim
04197,1501006,AVEIRO,PA,26.286,2. ruim
04200,1503754,JACAREACANGA,PA,31.39,2. ruim
04219,1501105,BAGRE,PA,24.762307692307694,1. péssimo
04227,1501725,BRASIL NOVO,PA,17.913636363636364,1. péssimo
04235,1501204,BAIAO,PA,26.445333333333334,2. ruim
04243,1506351,SANTA BARBARA DO PARA,PA,27.37181818181818,2. ruim
04251,1501303,BARCARENA,PA,22.923333333333336,1. péssimo
04260,1500347,AGUA AZUL DO NORTE,PA,16.563636363636363,1. péssimo
04278,1501402,BELEM,PA,33.68714285714286,2. ruim
04286,1508050,TRAIRAO,PA,21.632727272727273,1. péssimo
04294,1501501,BENEVIDES,PA,30.123076923076923,2. ruim
04308,1505551,PAU D'ARCO,PA,35.632222222222225,2. ruim
04316,1501600,BONITO,PA,27.89666666666667,2. ruim
04324,1508126,ULIANOPOLIS,PA,16.063076923076924,1. péssimo
04332,1501709,BRAGANCA,PA,24.917368421052632,1. péssimo
04340,1500958,AURORA DO PARA,PA,30.46818181818182,2. ruim
04359,1501808,BREVES,PA,27.62470588235294,2. ruim
04367,1507979,TERRA SANTA,PA,19.538,1. péssimo
04375,1501907,BUJARU,PA,32.18454545454545,2. ruim
04383,1505031,NOVO PROGRESSO,PA,15.48090909090909,1. péssimo
04391,1502004,CACHOEIRA DO ARARI,PA,18.193636363636365,1. péssimo
04405,1508357,VITORIA DO XINGU,PA,38.39666666666667,2. ruim
04413,1502103,CAMETA,PA,32.171176470588236,2. ruim
04421,1505064,NOVO REPARTIMENTO,PA,26.328666666666667,2. ruim
