projeto_responsavel,natureza,valor_do_projeto,valor_do_apoio,local,situacao,organizacao,url_proj,data_da_aprovacao,data_da_contratacao,data_da_conclusao
Terra a Limpo Estado de Mato Grosso - Gabinete de Articulação e Desenvolvimento Regional (GDR/MT),Estados,72900000,72900000,MT,contratado,Estado de Mato Grosso - Gabinete de Articulação e Desenvolvimento Regional (GDR/MT),https://www.fundoamazonia.gov.br/pt/projeto/Terra-a-Limpo/,2018-04-02,2018-06-26,NA
Alto Juruá Associação Ashaninka do Rio Amônia (Apiwtxa),Terceiro Setor,6597581,6597581,AC,concluido,Associação Ashaninka do Rio Amônia (Apiwtxa),https://www.fundoamazonia.gov.br/pt/projeto/Alto-Jurua/,2015-02-24,2015-04-16,2020-06-22
Proteção Etnoambiental de Povos Indígenas Isolados e de Recente Contato na Amazônia Centro de Trabalho Indigenista (CTI),Terceiro Setor,19043330,19043330,"AC, AP, AM, MA, MT, PA, RO, RR, TO",concluido,Centro de Trabalho Indigenista (CTI),https://www.fundoamazonia.gov.br/pt/projeto/Protecao-Etnoambiental-de-Povos-Indigenas-Isolados-e-de-Recente-Contato-na-Amazonia/,2014-10-28,2014-12-23,2020-03-04
Fortalecimento da Gestão Ambiental na Amazônia Instituto do Homem e Meio Ambiente da Amazônia (Imazon),Terceiro Setor,12717670,12104865,"AM, MT, PA, RO",concluido,Instituto do Homem e Meio Ambiente da Amazônia (Imazon),https://www.fundoamazonia.gov.br/pt/projeto/Fortalecimento-da-Gestao-Ambiental-na-Amazonia/,2015-11-06,2015-12-29,2022-04-29
Uso de Tecnologias Sociais para Redução do Desmatamento Associação de Desenvolvimento Agrícola Interestadual (Adai),Terceiro Setor,9059718.629999999,9059718.629999999,"MT, PA, RO, TO",concluido,Associação de Desenvolvimento Agrícola Interestadual (Adai),https://www.fundoamazonia.gov.br/pt/projeto/Uso-de-Tecnologias-Sociais-para-Reducao-do-Desmatamento/,2017-05-24,2017-07-31,2021-11-29
Capacitar para Conservar Equipe de Conservação da Amazônia (Ecam),Terceiro Setor,1404360.6700000002,1404360.6700000002,AP,concluido,Equipe de Conservação da Amazônia (Ecam),https://www.fundoamazonia.gov.br/pt/projeto/Capacitar-para-Conservar/,2014-09-23,2014-12-02,2021-12-31
Sementes do Portal Instituto Ouro Verde (IOV),Terceiro Setor,5397778.87,5397778.87,MT,concluido,Instituto Ouro Verde (IOV),https://www.fundoamazonia.gov.br/pt/projeto/Sementes-do-Portal/,2009-12-08,2010-03-25,2013-09-30
Ilhas de Belém Universidade Federal do Pará (UFPA) e Fundação de Amparo e Desenvolvimento da Pesquisa (Fadesp),Universidades,1138083.93,1138083.93,PA,concluido,Universidade Federal do Pará (UFPA) e Fundação de Amparo e Desenvolvimento da Pesquisa (Fadesp),https://www.fundoamazonia.gov.br/pt/projeto/Ilhas-de-Belem/,2012-01-17,2012-07-17,2015-09-30
Florestas de Mangue Universidade Federal do Pará (UFPA) e Fundação de Amparo e Desenvolvimento da Pesquisa (Fadesp),Universidades,1982143,1982143,PA,concluido,Universidade Federal do Pará (UFPA) e Fundação de Amparo e Desenvolvimento da Pesquisa (Fadesp),https://www.fundoamazonia.gov.br/pt/projeto/Florestas-de-Mangue/,2012-01-24,2012-07-17,2017-09-30
Fundação Banco do Brasil – Fundo Amazônia (Fase III) Fundação Banco do Brasil (FBB),Terceiro Setor,65000000,50000000,"AC, AP, AM, MA, MT, PA, RO, RR, TO",contratado,Fundação Banco do Brasil (FBB),https://www.fundoamazonia.gov.br/pt/projeto/Fundacao-Banco-do-Brasil-Fundo-Amazonia-Fase-III/,NA,2024-06-24,NA
Assentamentos Sustentáveis na Amazônia Instituto de Pesquisa Ambiental da Amazônia (Ipam),Terceiro Setor,24397144,23408189.459999997,PA,concluido,Instituto de Pesquisa Ambiental da Amazônia (Ipam),https://www.fundoamazonia.gov.br/pt/projeto/Assentamentos-Sustentaveis-na-Amazonia/,2011-11-29,2012-02-14,2022-08-16
APL Babaçu Associação em Áreas de Assentamento no estado do Maranhão (Assema),Terceiro Setor,4897085.37,4897085.37,MA,concluido,Associação em Áreas de Assentamento no estado do Maranhão (Assema),https://www.fundoamazonia.gov.br/pt/projeto/APL-Babacu/,2014-09-02,2014-10-29,2020-07-21
