data,temp_max_diaria,nome,codigo_estacao,latitude,longitude,altitude,situacao,data_inicial,data_final,periodicidade_da_medicao
2024-05-02,33.1,BOA VISTA,82024,2.82944443,-60.66194444,84.18,Operante,2024-01-01,2024-07-31,Diaria
2024-05-03,36.1,BOA VISTA,82024,2.82944443,-60.66194444,84.18,Operante,2024-01-01,2024-07-31,Diaria
2024-05-04,38.6,BOA VISTA,82024,2.82944443,-60.66194444,84.18,Operante,2024-01-01,2024-07-31,Diaria
2024-05-06,36.6,BOA VISTA,82024,2.82944443,-60.66194444,84.18,Operante,2024-01-01,2024-07-31,Diaria
2024-05-07,35.6,BOA VISTA,82024,2.82944443,-60.66194444,84.18,Operante,2024-01-01,2024-07-31,Diaria
2024-05-08,38.6,BOA VISTA,82024,2.82944443,-60.66194444,84.18,Operante,2024-01-01,2024-07-31,Diaria
2024-05-09,37.1,BOA VISTA,82024,2.82944443,-60.66194444,84.18,Operante,2024-01-01,2024-07-31,Diaria
2024-05-10,32,BOA VISTA,82024,2.82944443,-60.66194444,84.18,Operante,2024-01-01,2024-07-31,Diaria
2024-05-11,39.6,BOA VISTA,82024,2.82944443,-60.66194444,84.18,Operante,2024-01-01,2024-07-31,Diaria
2024-05-13,38.6,BOA VISTA,82024,2.82944443,-60.66194444,84.18,Operante,2024-01-01,2024-07-31,Diaria
2024-05-14,38.1,BOA VISTA,82024,2.82944443,-60.66194444,84.18,Operante,2024-01-01,2024-07-31,Diaria
2024-05-15,35.6,BOA VISTA,82024,2.82944443,-60.66194444,84.18,Operante,2024-01-01,2024-07-31,Diaria
2024-05-16,35.6,BOA VISTA,82024,2.82944443,-60.66194444,84.18,Operante,2024-01-01,2024-07-31,Diaria
2024-05-17,37.1,BOA VISTA,82024,2.82944443,-60.66194444,84.18,Operante,2024-01-01,2024-07-31,Diaria
2024-05-18,37.1,BOA VISTA,82024,2.82944443,-60.66194444,84.18,Operante,2024-01-01,2024-07-31,Diaria
2024-05-20,36.1,BOA VISTA,82024,2.82944443,-60.66194444,84.18,Operante,2024-01-01,2024-07-31,Diaria
2024-05-21,38.1,BOA VISTA,82024,2.82944443,-60.66194444,84.18,Operante,2024-01-01,2024-07-31,Diaria
2024-05-22,38.1,BOA VISTA,82024,2.82944443,-60.66194444,84.18,Operante,2024-01-01,2024-07-31,Diaria
2024-05-23,38.9,BOA VISTA,82024,2.82944443,-60.66194444,84.18,Operante,2024-01-01,2024-07-31,Diaria
2024-05-24,34.6,BOA VISTA,82024,2.82944443,-60.66194444,84.18,Operante,2024-01-01,2024-07-31,Diaria
2024-05-25,36.6,BOA VISTA,82024,2.82944443,-60.66194444,84.18,Operante,2024-01-01,2024-07-31,Diaria
2024-05-26,37.1,BOA VISTA,82024,2.82944443,-60.66194444,84.18,Operante,2024-01-01,2024-07-31,Diaria
2024-05-27,33.6,BOA VISTA,82024,2.82944443,-60.66194444,84.18,Operante,2024-01-01,2024-07-31,Diaria
2024-05-28,32,BOA VISTA,82024,2.82944443,-60.66194444,84.18,Operante,2024-01-01,2024-07-31,Diaria
2024-05-29,34.6,BOA VISTA,82024,2.82944443,-60.66194444,84.18,Operante,2024-01-01,2024-07-31,Diaria
2024-05-30,34.6,BOA VISTA,82024,2.82944443,-60.66194444,84.18,Operante,2024-01-01,2024-07-31,Diaria
2024-05-31,36.1,BOA VISTA,82024,2.82944443,-60.66194444,84.18,Operante,2024-01-01,2024-07-31,Diaria
2024-06-01,37.1,BOA VISTA,82024,2.82944443,-60.66194444,84.18,Operante,2024-01-01,2024-07-31,Diaria
2024-06-02,37.6,BOA VISTA,82024,2.82944443,-60.66194444,84.18,Operante,2024-01-01,2024-07-31,Diaria
2024-06-03,37.1,BOA VISTA,82024,2.82944443,-60.66194444,84.18,Operante,2024-01-01,2024-07-31,Diaria
2024-06-04,38.6,BOA VISTA,82024,2.82944443,-60.66194444,84.18,Operante,2024-01-01,2024-07-31,Diaria
2024-06-05,39.1,BOA VISTA,82024,2.82944443,-60.66194444,84.18,Operante,2024-01-01,2024-07-31,Diaria
2024-06-06,38.1,BOA VISTA,82024,2.82944443,-60.66194444,84.18,Operante,2024-01-01,2024-07-31,Diaria
2024-06-07,37.1,BOA VISTA,82024,2.82944443,-60.66194444,84.18,Operante,2024-01-01,2024-07-31,Diaria
2024-06-08,38.6,BOA VISTA,82024,2.82944443,-60.66194444,84.18,Operante,2024-01-01,2024-07-31,Diaria
2024-06-09,37.6,BOA VISTA,82024,2.82944443,-60.66194444,84.18,Operante,2024-01-01,2024-07-31,Diaria
2024-06-10,38.1,BOA VISTA,82024,2.82944443,-60.66194444,84.18,Operante,2024-01-01,2024-07-31,Diaria
2024-06-11,38.1,BOA VISTA,82024,2.82944443,-60.66194444,84.18,Operante,2024-01-01,2024-07-31,Diaria
2024-06-12,37.1,BOA VISTA,82024,2.82944443,-60.66194444,84.18,Operante,2024-01-01,2024-07-31,Diaria
2024-06-13,35.6,BOA VISTA,82024,2.82944443,-60.66194444,84.18,Operante,2024-01-01,2024-07-31,Diaria
2024-06-14,34.6,BOA VISTA,82024,2.82944443,-60.66194444,84.18,Operante,2024-01-01,2024-07-31,Diaria
2024-06-15,34.1,BOA VISTA,82024,2.82944443,-60.66194444,84.18,Operante,2024-01-01,2024-07-31,Diaria
2024-06-16,33.6,BOA VISTA,82024,2.82944443,-60.66194444,84.18,Operante,2024-01-01,2024-07-31,Diaria
2024-06-17,34.1,BOA VISTA,82024,2.82944443,-60.66194444,84.18,Operante,2024-01-01,2024-07-31,Diaria
2024-06-18,35.1,BOA VISTA,82024,2.82944443,-60.66194444,84.18,Operante,2024-01-01,2024-07-31,Diaria
2024-06-19,35.1,BOA VISTA,82024,2.82944443,-60.66194444,84.18,Operante,2024-01-01,2024-07-31,Diaria
2024-06-20,35.6,BOA VISTA,82024,2.82944443,-60.66194444,84.18,Operante,2024-01-01,2024-07-31,Diaria
2024-06-21,31.5,BOA VISTA,82024,2.82944443,-60.66194444,84.18,Operante,2024-01-01,2024-07-31,Diaria
2024-06-22,33.6,BOA VISTA,82024,2.82944443,-60.66194444,84.18,Operante,2024-01-01,2024-07-31,Diaria
2024-06-23,34.6,BOA VISTA,82024,2.82944443,-60.66194444,84.18,Operante,2024-01-01,2024-07-31,Diaria
2024-06-24,35.6,BOA VISTA,82024,2.82944443,-60.66194444,84.18,Operante,2024-01-01,2024-07-31,Diaria
2024-06-25,35.5,BOA VISTA,82024,2.82944443,-60.66194444,84.18,Operante,2024-01-01,2024-07-31,Diaria
2024-06-26,34.1,BOA VISTA,82024,2.82944443,-60.66194444,84.18,Operante,2024-01-01,2024-07-31,Diaria
2024-06-27,36.6,BOA VISTA,82024,2.82944443,-60.66194444,84.18,Operante,2024-01-01,2024-07-31,Diaria
2024-06-28,34.6,BOA VISTA,82024,2.82944443,-60.66194444,84.18,Operante,2024-01-01,2024-07-31,Diaria
2024-06-29,31,BOA VISTA,82024,2.82944443,-60.66194444,84.18,Operante,2024-01-01,2024-07-31,Diaria
2024-06-30,36.1,BOA VISTA,82024,2.82944443,-60.66194444,84.18,Operante,2024-01-01,2024-07-31,Diaria
2024-07-01,36.6,BOA VISTA,82024,2.82944443,-60.66194444,84.18,Operante,2024-01-01,2024-07-31,Diaria
2024-07-02,36.1,BOA VISTA,82024,2.82944443,-60.66194444,84.18,Operante,2024-01-01,2024-07-31,Diaria
2024-07-03,32.5,BOA VISTA,82024,2.82944443,-60.66194444,84.18,Operante,2024-01-01,2024-07-31,Diaria
2024-07-04,34.6,BOA VISTA,82024,2.82944443,-60.66194444,84.18,Operante,2024-01-01,2024-07-31,Diaria
2024-07-05,35.6,BOA VISTA,82024,2.82944443,-60.66194444,84.18,Operante,2024-01-01,2024-07-31,Diaria
2024-07-06,33.6,BOA VISTA,82024,2.82944443,-60.66194444,84.18,Operante,2024-01-01,2024-07-31,Diaria
2024-07-07,35.5,BOA VISTA,82024,2.82944443,-60.66194444,84.18,Operante,2024-01-01,2024-07-31,Diaria
2024-07-08,34.6,BOA VISTA,82024,2.82944443,-60.66194444,84.18,Operante,2024-01-01,2024-07-31,Diaria
2024-07-09,35.1,BOA VISTA,82024,2.82944443,-60.66194444,84.18,Operante,2024-01-01,2024-07-31,Diaria
2024-07-10,36.6,BOA VISTA,82024,2.82944443,-60.66194444,84.18,Operante,2024-01-01,2024-07-31,Diaria
2024-07-11,32.5,BOA VISTA,82024,2.82944443,-60.66194444,84.18,Operante,2024-01-01,2024-07-31,Diaria
2024-07-12,33,BOA VISTA,82024,2.82944443,-60.66194444,84.18,Operante,2024-01-01,2024-07-31,Diaria
2024-07-13,29,BOA VISTA,82024,2.82944443,-60.66194444,84.18,Operante,2024-01-01,2024-07-31,Diaria
2024-07-14,30.5,BOA VISTA,82024,2.82944443,-60.66194444,84.18,Operante,2024-01-01,2024-07-31,Diaria
2024-07-15,34.1,BOA VISTA,82024,2.82944443,-60.66194444,84.18,Operante,2024-01-01,2024-07-31,Diaria
2024-07-16,32,BOA VISTA,82024,2.82944443,-60.66194444,84.18,Operante,2024-01-01,2024-07-31,Diaria
2024-07-17,32.5,BOA VISTA,82024,2.82944443,-60.66194444,84.18,Operante,2024-01-01,2024-07-31,Diaria
2024-07-18,32.5,BOA VISTA,82024,2.82944443,-60.66194444,84.18,Operante,2024-01-01,2024-07-31,Diaria
2024-07-19,34.6,BOA VISTA,82024,2.82944443,-60.66194444,84.18,Operante,2024-01-01,2024-07-31,Diaria
2024-07-20,32,BOA VISTA,82024,2.82944443,-60.66194444,84.18,Operante,2024-01-01,2024-07-31,Diaria
2024-07-21,33.6,BOA VISTA,82024,2.82944443,-60.66194444,84.18,Operante,2024-01-01,2024-07-31,Diaria
2024-07-22,34.6,BOA VISTA,82024,2.82944443,-60.66194444,84.18,Operante,2024-01-01,2024-07-31,Diaria
2024-07-23,33.6,BOA VISTA,82024,2.82944443,-60.66194444,84.18,Operante,2024-01-01,2024-07-31,Diaria
2024-07-24,35.1,BOA VISTA,82024,2.82944443,-60.66194444,84.18,Operante,2024-01-01,2024-07-31,Diaria
2024-07-25,35.1,BOA VISTA,82024,2.82944443,-60.66194444,84.18,Operante,2024-01-01,2024-07-31,Diaria
2024-07-26,34.6,BOA VISTA,82024,2.82944443,-60.66194444,84.18,Operante,2024-01-01,2024-07-31,Diaria
2024-07-27,35.6,BOA VISTA,82024,2.82944443,-60.66194444,84.18,Operante,2024-01-01,2024-07-31,Diaria
2024-07-28,35.6,BOA VISTA,82024,2.82944443,-60.66194444,84.18,Operante,2024-01-01,2024-07-31,Diaria
2024-07-29,36.6,BOA VISTA,82024,2.82944443,-60.66194444,84.18,Operante,2024-01-01,2024-07-31,Diaria
2024-07-30,33,BOA VISTA,82024,2.82944443,-60.66194444,84.18,Operante,2024-01-01,2024-07-31,Diaria
2024-07-31,36.1,BOA VISTA,82024,2.82944443,-60.66194444,84.18,Operante,2024-01-01,2024-07-31,Diaria
2024-01-01,38,CARACARAI,82042,1.83249999,-61.12083332,51.99,Operante,2024-01-01,2024-07-31,Diaria
2024-01-02,37.6,CARACARAI,82042,1.83249999,-61.12083332,51.99,Operante,2024-01-01,2024-07-31,Diaria
2024-01-03,37.8,CARACARAI,82042,1.83249999,-61.12083332,51.99,Operante,2024-01-01,2024-07-31,Diaria
2024-01-04,37.6,CARACARAI,82042,1.83249999,-61.12083332,51.99,Operante,2024-01-01,2024-07-31,Diaria
2024-01-05,38.6,CARACARAI,82042,1.83249999,-61.12083332,51.99,Operante,2024-01-01,2024-07-31,Diaria
2024-01-06,38,CARACARAI,82042,1.83249999,-61.12083332,51.99,Operante,2024-01-01,2024-07-31,Diaria
2024-01-07,37,CARACARAI,82042,1.83249999,-61.12083332,51.99,Operante,2024-01-01,2024-07-31,Diaria
2024-01-08,37.6,CARACARAI,82042,1.83249999,-61.12083332,51.99,Operante,2024-01-01,2024-07-31,Diaria
2024-01-09,36.6,CARACARAI,82042,1.83249999,-61.12083332,51.99,Operante,2024-01-01,2024-07-31,Diaria
2024-01-10,36.8,CARACARAI,82042,1.83249999,-61.12083332,51.99,Operante,2024-01-01,2024-07-31,Diaria
2024-01-11,34.6,CARACARAI,82042,1.83249999,-61.12083332,51.99,Operante,2024-01-01,2024-07-31,Diaria
2024-01-12,37,CARACARAI,82042,1.83249999,-61.12083332,51.99,Operante,2024-01-01,2024-07-31,Diaria
2024-01-13,37.2,CARACARAI,82042,1.83249999,-61.12083332,51.99,Operante,2024-01-01,2024-07-31,Diaria
